carNo,driver,tyre,chassis,engine
16,Leclerc,SoftTyre,FerrariChassis,FerrariEngine
5,Vettel,HardTyre,FerrariChassis,FerrariEngine
44,Hamilton,SoftTyre,MercedesChassis,MercedesEngine
77,Bottas,SoftTyre,MercedesChassis,MercedesEngine
33,Verstappen,SoftTyre,RedBullChassis,HondaEngine
23,Albon,SoftTyre,RedBullChassis,HondaEngine
3,Ricciardo,SoftTyre,RenaultChassis,RenaultEngine
27,Hulkenberg,SoftTyre,RenaultChassis,RenaultEngine
55,Sainz,SoftTyre,MclarenChassis,RenaultEngine
4,Norris,SoftTyre,MclarenChassis,RenaultEngine
20,Magnussen,SoftTyre,HaasChassis,FerrariEngine
8,Grosjean,SoftTyre,HaasChassis,FerrariEngine
7,Raikkonen,SoftTyre,AlfaRomeoChassis,FerrariEngine
99,Giovinazzi,SoftTyre,AlfaRomeoChassis,FerrariEngine
10,Gasly,SoftTyre,ToroRossoChassis,HondaEngine
26,Kvyat,SoftTyre,ToroRossoChassis,HondaEngine
11,Perez,SoftTyre,RacingPointChassis,MercedesEngine
18,Stroll,SoftTyre,RacingPointChassis,MercedesEngine
63,Russell,SoftTyre,WilliamsChassis,MercedesEngine
88,Kubica,SoftTyre,WilliamsChassis,MercedesEngine